svn.id|username|date|lines.edited|description
r79933|kalibera|2021-02-03 10:45:24|3|Improve error reporting and avoid crashes when Renviron includes too long [n] lines (PR#18001).
r79931|kalibera|2021-02-03 06:20:18|3|Fix invalid memory deallocation and buffer overrun in fifo implementation on [n] Windows.  Fix detection of binary mode.  (PR#18031, PR#15600)
r79930|ripley|2021-02-03 04:47:42|1|add info for the likes of mallinfo
r79929|ripley|2021-02-02 05:49:02|1|add warning on cmake (for which an arm64 version is now available)
r79928|ripley|2021-02-02 03:19:56|1|update
r79926|ripley|2021-02-02 03:10:22|3|mention 'timeout' for macOS [n] docuemnt tracing loadNamespace()
r79925|kalibera|2021-02-02 01:34:40|2|Typos in comments (PR#18046).
r79922|maechler|2021-02-01 13:37:16|1|checkRdafiles() $version bug fix
r79920|ripley|2021-02-01 07:22:57|1|another typo
r79919|ripley|2021-02-01 07:15:58|1|typo in r79918
r79918|maechler|2021-02-01 06:07:32|1|extended for `fixed` arg, plus ex., thanks to Rolf Turner
r79917|ripley|2021-02-01 06:07:10|1|add/update compiled translations
r79916|maechler|2021-02-01 05:53:09|1|ported r79853 [as.data.frame.list(L, row.names)] from trunk to R-4-0
r79915|maechler|2021-02-01 03:32:56|1|also disable <DOTSXP> `$` subsetting
r79914|ripley|2021-02-01 02:31:11|1|do not by default report missing namespaces with where="<unknown>"
r79913|maechler|2021-02-01 02:17:11|1|comment cosmetic
r79912|ripley|2021-01-31 09:34:54|1|allow tracing of loadNamespace, show calls for missing namespace warnings
r79911|ripley|2021-01-30 07:56:16|1|tweaks
r79910|ripley|2021-01-30 07:54:33|1|twek comment
r79909|ripley|2021-01-30 04:57:02|1|update for XQuartz beta
r79906|ripley|2021-01-30 00:56:13|1|better align OlsonNames with Sys.timezone
r79905|ripley|2021-01-30 00:55:45|1|update note
r79902|ripley|2021-01-29 23:58:48|1|add comment
r79901|ripley|2021-01-29 23:48:27|1|avoid setting TZDIR to a value other applications may not recognize
r79899|ripley|2021-01-29 12:31:11|1|update
r79897|maechler|2021-01-29 05:15:39|1|fix old cutnpaste error
r79895|ripley|2021-01-28 04:52:06|1|update comments
r79893|ripley|2021-01-28 01:21:41|1|update
r79892|ripley|2021-01-28 01:21:23|1|update URL
r79891|pd|2021-01-27 16:20:05|1|maintainer-mode changes
r79889|kalibera|2021-01-27 07:08:20|2|Docs update (compilation vs byte-compilation).
r79888|maechler|2021-01-27 02:07:39|3|1) translate the "in" for parse errors; [n] 2) Fix the R-de.po R-lt.po R-zh_TW.po lt.po ru.po files (errors -> where *not* installed) [n] ==> many updated translation files
r79887|hornik|2021-01-26 23:52:58|1|Spelling.
r79886|hornik|2021-01-26 23:46:35|1|Typo.
r79884|ripley|2021-01-26 13:08:54|1|tweaks on C++ standards
r79883|ripley|2021-01-25 01:40:28|1|allow suppression of missing namespace message and use it selectively
r79882|maechler|2021-01-25 00:48:33|1|disable <DOTSXP> subsetting as it allows exposing PROMSXP
r79881|kalibera|2021-01-25 00:38:20|2|Fix typo in docs (PR#18038).
r79880|ripley|2021-01-25 00:21:48|1|default to C++14 if available
r79879|ripley|2021-01-24 23:39:15|1|add comment
r79878|pd|2021-01-24 16:20:01|1|maintainer-mode changes
r79876|hornik|2021-01-24 08:43:33|1|Prefer giving NaN/NA when test statistic is undefined.
r79875|hornik|2021-01-24 08:41:46|1|Tweak.
r79873|hornik|2021-01-23 08:56:00|1|Improve URLs.
r79872|ripley|2021-01-23 02:04:38|1|update C++ standard tests
r79871|maechler|2021-01-23 00:39:02|1|str() now also works for "unusual" list objects where lapply() fails
r79870|ripley|2021-01-22 23:48:23|1|rename m4/cxx_11.m4 as it is no longer just about C++11
r79868|ripley|2021-01-22 23:26:27|1|update
r79867|ripley|2021-01-22 22:22:37|1|update comments
r79865|ripley|2021-01-22 21:41:34|1|update
r79863|ripley|2021-01-22 13:39:17|1|tweaks on documenting C++ support
r79861|ripley|2021-01-22 12:50:35|1|defer src/library changes
r79860|ripley|2021-01-22 12:48:43|1|merge sections on C++ dialects
r79858|ripley|2021-01-22 01:45:28|1|updates for C++ standards
r79857|ripley|2021-01-21 22:59:44|1|tweaks
r79855|murrell|2021-01-21 18:06:15|1|shift checking of plot(type=) to R code (as a simple fix to avoid truncating non-ASCII values in C code)
r79853|maechler|2021-01-21 11:00:51|1|as.data.frame.list(L, row.names=NULL) now behaves as data.frame(L, *)
r79852|ripley|2021-01-21 00:38:43|1|add comment and warning
r79850|maechler|2021-01-20 03:59:15|1|are *BEFORE* disabling <DOTSXP>[]
r79849|maechler|2021-01-20 01:20:13|1|forgotten part of c79848 (pre-disallowing DOTSXP)
r79848|maechler|2021-01-19 09:44:14|1|pre-disallowing DOTSXP subsetting
r79847|pd|2021-01-18 16:21:07|1|maintainer-mode changes
r79846|ripley|2021-01-18 01:44:32|1|tweaks
r79845|ripley|2021-01-18 00:16:21|1|separate detection of cairo-xlib from cairo -- Homebrew for arm64 has the second but not the first
r79843|ripley|2021-01-17 23:20:26|1|tweak
r79841|ripley|2021-01-17 07:57:37|1|add warning, update
r79839|maechler|2021-01-16 09:28:39|2|mini bug fix from Ivan Krylov (R-devel list)
r79838|hornik|2021-01-16 07:20:20|1|Spelling.
r79836|ripley|2021-01-16 00:54:55|1|update, remove very old comments
r79834|ripley|2021-01-15 23:45:56|1|emphasize that CPPFLAGS needs to be set also for C++
r79833|maechler|2021-01-15 07:48:47|1|str() for "..." and "promise": just for now, as these are doomed
r79832|ripley|2021-01-14 12:52:06|1|tweaks
r79831|ripley|2021-01-14 07:29:53|1|tweak
r79830|maechler|2021-01-14 06:13:59|1|all.equal() now works for <DOTSXP>
r79829|ripley|2021-01-14 06:09:22|1|differentiate macOS default personal library directory by arch
r79828|maechler|2021-01-14 03:11:47|1|names() now works for <DOTSXP>
r79827|pd|2021-01-13 16:21:09|1|maintainer-mode changes
r79825|ripley|2021-01-13 09:13:59|1|update comment
r79822|ripley|2021-01-13 08:52:12|1|KIND=8 is not portable, let alone KIND=16
r79821|maechler|2021-01-13 02:24:45|1|more on dot-dot-dot and environments ; "..." object possibly to change or go
r79820|ripley|2021-01-12 22:39:40|1|add note on using AX_ macros
r79819|pd|2021-01-12 16:20:02|1|maintainer-mode changes
r79818|luke|2021-01-12 11:10:04|2|Use => syntax to pass pipe lhs to non-first-argument on rhs.
r79816|maechler|2021-01-12 06:13:35|1|fix identical(<DOTSXP>, ..) -- PR#18032
r79815|hornik|2021-01-09 14:59:51|1|Revert c79810.
r79814|maechler|2021-01-09 09:16:36|1|fix small thinko
r79813|hornik|2021-01-09 09:05:49|1|Do not include tags for known fields without folding.
r79812|maechler|2021-01-08 05:43:51|1|all.equal.language(x, y) when `y` is not deparse()able
r79811|hornik|2021-01-08 04:19:18|1|Revert accidental commit.
r79810|hornik|2021-01-08 03:29:28|1|Also simplify in the common length zero case.
r79809|hornik|2021-01-08 03:26:02|1|Fix PR#18027.  Thanks to <jozef.hajnala@gmail.com>.
r79807|ripley|2021-01-08 00:27:21|1|update
r79805|kalibera|2021-01-07 10:02:01|2|Initialize EmitEmbeddedUTF8 in Rf_initEmbeddedR (PR#18028).
r79804|ripley|2021-01-07 08:02:27|1|mention alternative source for checkbashisms
r79803|ripley|2021-01-07 06:30:24|1|match R-patched
r79801|ripley|2021-01-07 00:34:23|1|more comments
r79799|ripley|2021-01-06 00:13:07|1|update character-width tables
r79798|ripley|2021-01-05 22:52:47|1|macOS updates
r79797|ripley|2021-01-05 13:27:01|1|improve wording
r79796|ripley|2021-01-05 13:22:43|1|missing period
r79795|ripley|2021-01-05 06:58:09|1|clarify that agrep[l] do not use regexps by default
r79794|ripley|2021-01-05 06:42:35|1|tweaks
r79793|hornik|2021-01-05 06:35:24|1|Use internet timeout when fetching headers via package curl.
r79792|ripley|2021-01-05 05:39:39|1|tweak
r79791|ripley|2021-01-05 02:05:52|1|tweaks
r79790|maechler|2021-01-05 02:01:55|1|+ \link{}s, clarification, examples -- less "#ifdef"
r79789|lawrence|2021-01-04 14:58:16|2|add lt translations, thanks to Rimantas Žakauskas
r79788|hornik|2021-01-04 07:53:53|1|Improve computation of the test statistic.
r79787|ripley|2021-01-04 05:46:26|1|avoid compiler warning
r79786|ripley|2021-01-03 23:17:39|1|tweaks, mainly documentation
r79785|ripley|2021-01-03 22:09:14|1|some details for the CRAN M1 Mac distributions
r79784|ripley|2021-01-03 21:52:00|1|bump date
r79782|ripley|2021-01-03 21:20:52|1|configuring cairo should not need X11
r79781|hornik|2021-01-03 14:06:23|1|Update comments.
r79780|hornik|2021-01-03 14:03:44|1|Tweaks.
r79779|hornik|2021-01-03 10:11:05|1|Re-add xtfrm.data.frame() to warn and optionally stop.
r79778|ripley|2021-01-03 06:28:34|1|support for system wc[s]width where it exists
r79777|ripley|2021-01-03 05:15:42|1|tweak
r79776|ripley|2021-01-03 05:11:47|1|make replacing wc[s]width optional (but still the default)
r79775|ripley|2021-01-03 05:02:22|1|tweak
r79774|hornik|2021-01-03 03:29:36|1|Fix PR#18021.  Patch by Brodie Gaslam.
r79773|hornik|2021-01-03 03:27:01|1|Fix PR#18023.  Patch by Michael Chirico <michaelchirico4@gmail.com>.
r79772|hornik|2021-01-03 03:25:28|1|Spelling.
r79771|ripley|2021-01-03 02:20:18|1|bump copyright date
r79767|ripley|2021-01-02 11:14:35|1|update on M1 Mac distribution
r79766|ripley|2021-01-02 11:02:47|3|a bit more background: src/main/rlocale_widths.h [n] change configure defaults on Solaris.
r79765|ripley|2021-01-02 02:21:58|1|add/update some headers
r79764|ripley|2021-01-02 00:31:54|1|tweaks
r79763|ripley|2021-01-01 23:44:25|1|documentation for new --with-internal options
r79762|ripley|2021-01-01 22:02:13|1|new configure options to override system character fns (or not)
r79761|ripley|2021-01-01 21:58:35|1|avoid avoid mbtrowc on Solaris
r79760|ripley|2021-01-01 21:34:07|1|add comment
r79757|ripley|2021-01-01 11:35:27|1|add comment
r79756|ripley|2021-01-01 08:12:38|1|tweak
r79755|ripley|2021-01-01 05:50:56|1|update
r79754|ripley|2021-01-01 03:01:39|1|tweak
r79753|ripley|2021-01-01 02:23:00|1|update
r79752|ripley|2021-01-01 00:31:25|1|more on uniset
r79751|ripley|2021-01-01 00:30:47|1|more on uniset
r79750|ripley|2021-01-01 00:22:59|1|add tool used to prepare wchar classification tables
r79749|ripley|2021-01-01 00:20:14|1|update character classification tables
r79747|ripley|2020-12-31 22:46:29|1|update
r79746|ripley|2020-12-31 12:44:03|1|better names for files of tables
r79745|ripley|2020-12-31 12:25:30|1|notes on platform dependence
r79744|ripley|2020-12-31 01:43:29|1|small corrections
r79743|ripley|2020-12-30 22:22:21|1|add w to name to better reflect what is being replaced
r79742|ripley|2020-12-30 22:21:07|1|add missing entry (one of many)
r79737|luke|2020-12-30 17:12:22|2|Separate out handling of closures from dotted pairs for more flexibility.
r79735|hornik|2020-12-30 09:17:19|1|.C/.Fortran styles are gone.  Spotted by Ivan Krylov <krylov.r00t@gmail.com>.
r79734|hornik|2020-12-30 09:15:49|1|Only remove recommended package revdep dummies.
r79733|hornik|2020-12-30 09:14:04|1|old.packages() does not remove duplicates.
r79731|ripley|2020-12-30 08:20:55|1|typo
r79730|ripley|2020-12-30 05:43:54|1|add internal wide char tolower/toupper (not yet used)
r79728|ripley|2020-12-30 04:34:32|1|update
r79727|ripley|2020-12-30 00:09:04|1|add UTF-8 <-> UCS-4 string functions
r79726|ripley|2020-12-30 00:07:30|1|simplify for macOS
r79725|ripley|2020-12-29 05:03:42|1|enhance Ri18n_wcwidth to handle surrogate pairs
r79724|ripley|2020-12-29 05:03:04|1|add comments of UTF-8 Windows locales
r79723|ripley|2020-12-29 05:02:13|1|comment on macOS strangeness
r79722|ripley|2020-12-29 01:01:13|2|add comments, amend iswgraph to comply with C99 description
r79721|ripley|2020-12-28 22:54:58|1|add URL in comment
r79719|ripley|2020-12-28 22:25:05|1|typo, clarify 0xFFFE:F
r79718|ripley|2020-12-28 21:09:12|1|expand entry
r79717|ripley|2020-12-28 11:32:23|1|update
r79716|ripley|2020-12-28 07:47:19|1|split off rlocale_widths.h, more on sources
r79715|ripley|2020-12-28 01:05:57|1|remove workaround for missing iswblank
r79714|ripley|2020-12-28 00:58:07|1|more support for Latin-1 in non-Latin-1 locales
r79713|ripley|2020-12-28 00:00:58|1|tweaks
r79712|ripley|2020-12-27 23:05:30|1|introduce USE_RI18N_FNS
r79711|ripley|2020-12-27 23:04:14|1|add comment
r79710|ripley|2020-12-27 12:01:47|1|clean up
r79709|ripley|2020-12-27 11:35:42|1|tweaks for overridding (or not) iswxxxx functions
r79707|luke|2020-12-27 08:26:40|2|Patch for PR18020 from Suharto Anggono fixing indexing variable types.
r79703|ripley|2020-12-26 23:30:51|1|tweak support for static tiff and png
r79702|ripley|2020-12-26 23:02:48|1|skip M1 Mac differences
r79701|ripley|2020-12-26 22:55:28|1|update
r79700|ripley|2020-12-26 22:48:33|1|skip M1 Mac differences
r79699|ripley|2020-12-26 22:27:45|1|update comments
r79698|hornik|2020-12-26 11:58:14|1|Tweaks.
r79697|hornik|2020-12-26 07:42:52|1|Improve source info.
r79696|ripley|2020-12-26 06:31:31|1|comments
r79695|ripley|2020-12-26 05:27:04|1|clarify that positions used by CP1252 are actually undefined in ISO 8859-1
r79694|maechler|2020-12-26 04:25:59|1|all.equal.environment(*, evaluate=TRUE) __work in progress__ (see FIXME in *tests-1d.R)
r79693|ripley|2020-12-26 04:24:16|1|add comments
r79690|maechler|2020-12-26 02:32:09|1|+ NEWS and regr.test for PR#17868 (svn c78912)
r79689|maechler|2020-12-26 02:16:41|1|revert duplicate
r79688|maechler|2020-12-26 02:12:40|1|.libPaths(*, site.library=TRUE) from PR#18016
r79687|ripley|2020-12-26 01:17:59|1|maybe Windows cannot have native chars beyond the BMP
r79686|ripley|2020-12-26 00:37:13|1|improvements to handling Latin-1 marked inputs
r79685|ripley|2020-12-25 03:00:39|1|use overridden isw* function in TRE regex engine
r79684|ripley|2020-12-25 00:31:54|1|add comments
r79683|ripley|2020-12-25 00:31:16|1|add comment
r79682|ripley|2020-12-25 00:30:48|1|treat Solaris as using Unicode
r79681|ripley|2020-12-25 00:29:42|1|start a new section for encoding changes (not all are committed yet)
r79680|ripley|2020-12-25 00:22:35|1|tweak
r79679|ripley|2020-12-24 08:52:55|1|add explanatory comments
r79677|maechler|2020-12-24 02:52:44|1|.libPaths(*, site.library=TRUE) from PR#18016
r79676|ripley|2020-12-24 01:17:24|1|add some comments about encodings
r79675|ripley|2020-12-23 06:24:06|1|M1 macOS updates
r79674|maechler|2020-12-23 03:27:40|1|fix PR#18014; thanks to Henrik Bengtsson
r79673|deepayan|2020-12-22 22:36:23|1|bugfix: provide correct argument to custom completer
r79672|hornik|2020-12-22 04:39:35|1|Improve CRAN incoming checks for URLs and DOIs.
r79671|hornik|2020-12-22 04:39:01|1|Improve URLs.
r79670|hornik|2020-12-21 21:29:14|1|Improve URLs.
r79669|ripley|2020-12-21 20:39:15|1|add comment
r79668|maechler|2020-12-21 11:19:14|1|show(<S4generic>) when pkg is global env
r79667|ripley|2020-12-21 08:05:06|1|macOS updates
r79664|ripley|2020-12-21 07:24:22|1|do not ignore marked UTF_8 strings in a SBCS
r79663|hornik|2020-12-21 02:50:51|1|cran.revolutionanalytics.com is now cran.microsoft.com.
r79662|hornik|2020-12-21 02:50:20|1|Spelling.
r79660|kalibera|2020-12-21 02:06:37|2|Fix doc link (PR#18017).
r79659|ripley|2020-12-20 23:58:01|1|macOS updates
r79658|hornik|2020-12-20 12:02:14|1|Tweak.
r79657|hornik|2020-12-20 12:01:46|1|Cleanup.
r79656|hornik|2020-12-20 12:01:21|1|Improve code and docs for reverse.  By Sebastian Meyer.
r79655|hornik|2020-12-20 11:59:41|1|Improve URLs.
r79654|hornik|2020-12-20 11:59:08|1|Spelling.
r79653|hornik|2020-12-20 11:57:15|1|Fix PR#18009.  Patch by Sebastian Meyer <seb.meyer@fau.de>.
r79651|ripley|2020-12-20 11:19:03|1|debugging to macOS
r79649|ripley|2020-12-19 11:20:54|1|comments on identifying Apple Silicon
r79648|ripley|2020-12-19 01:05:41|1|warn on unpaired UTF-16 surrogates
r79647|ripley|2020-12-18 23:21:42|1|macOS updates
r79646|ripley|2020-12-18 11:40:55|1|avoid recent gfortran warning
r79645|ripley|2020-12-17 11:50:06|1|could install Tcl/Tk as a foundation
r79644|deepayan|2020-12-17 07:38:30|1|experimental hooks for user-provided extensions to completion (not yet documented)
r79642|ripley|2020-12-16 00:31:12|1|macOS tweaks
r79639|ripley|2020-12-15 03:20:18|1|tweaks
r79638|ripley|2020-12-15 03:03:32|1|go back to system mbrtowc until we have corrected our handling of surrogates
r79636|ripley|2020-12-14 23:46:03|1|missing )
r79635|ripley|2020-12-14 23:45:45|1|add note on macOS oddity
r79630|luke|2020-12-14 09:56:29|2|Update for ?pipeOp from Kevin Ushey.
r79629|maechler|2020-12-14 09:54:09|1|news for r79626
r79626|maechler|2020-12-14 07:00:48|1|identical(<dotsxp>)
r79625|ripley|2020-12-14 02:33:23|1|tweaks for USE_FC_TO_LINK
r79624|ripley|2020-12-14 01:34:35|1|mention -arch
r79623|hornik|2020-12-13 03:02:34|2|For now, when given a data frame, have xtfrm.default() warn and skip [n] checking its value for correct length.
r79622|ripley|2020-12-12 11:33:40|1|avoid gcc 10 warning
r79621|ripley|2020-12-12 08:36:21|1|document parser change for \U
r79620|ripley|2020-12-11 21:28:47|1|report bad \U value
r79619|pd|2020-12-11 16:20:01|1|maintainer-mode changes
r79618|ripley|2020-12-11 11:09:41|1|typo
r79617|ripley|2020-12-11 11:09:16|1|improve old comment
r79616|ripley|2020-12-11 08:51:18|1|explanatory comments on the use of __STDC_ISO_10646__
r79615|maechler|2020-12-11 08:42:58|1|another tweak for show(<S4 generic>)
r79613|ripley|2020-12-11 07:42:19|1|update comments
r79612|ripley|2020-12-11 06:02:21|4|Allow only \Uxxxxxxxx escapes valid for UTF-8 [n] Ouptput with only 6 hex digits [n] Avoid system mbrtowc (Solaris one is wrong for upper Unicode points).
r79610|ripley|2020-12-11 04:11:15|1|tweak
r79609|ripley|2020-12-11 02:17:49|1|tweaks to c79608
r79608|ripley|2020-12-11 02:11:38|1|better handling of parsing surrogate pairs on Solaris etc, document what is supposed to happen
r79606|hornik|2020-12-10 08:35:38|1|Fix PR#17995.  Patch by Sebastian Meyer <seb.meyer@fau.de>.
r79605|ripley|2020-12-10 08:02:33|1|avoid relying on parser for invalid UTF-8 input
r79604|ripley|2020-12-10 02:28:44|1|tweaks for checking on Solaris (gcc, 32-bit)
r79602|ripley|2020-12-10 00:24:58|1|follow earlier practice and strip docstrip preamble.  Document update
r79600|ripley|2020-12-09 05:48:10|1|update from AZ
r79599|ripley|2020-12-09 05:03:06|1|document r79597
r79598|pd|2020-12-09 03:49:47|1|NA colname and check.names=FALSE, PR18007
r79597|ripley|2020-12-08 21:21:37|1|warn when attempting fallback to Xlib
r79595|kalibera|2020-12-08 07:31:43|3|Windows installer: fix launcher icon installation without administrative [n] permissions.  Allow override to user-only installation.
r79594|kalibera|2020-12-08 05:17:38|2|Docs update (from Sebastian Meyer).
r79592|ripley|2020-12-08 03:29:32|1|report which device is unavailable
r79589|ripley|2020-12-08 02:26:07|1|add early error if cairo is not supported
r79586|ripley|2020-12-07 11:30:43|1|macOS tweaks
r79585|maechler|2020-12-07 09:11:14|1|use `check.environment = <T/F>` (singular)
r79584|maechler|2020-12-07 09:08:07|1|cosmetic, notably deparse1(<large f>)
r79583|maechler|2020-12-07 09:06:38|1|p.adjust(<empty>, n=0); PR#18002
r79580|murrell|2020-12-06 14:37:00|1|fix documentation for graphics::polypath() - reported by Robert Hijmans
r79578|luke|2020-12-06 13:59:31|2|Added ~ and @ to special syntax list.
r79577|luke|2020-12-06 13:54:41|2|Changed section name and title.
r79574|luke|2020-12-06 10:06:33|2|Typo fix.
r79573|hornik|2020-12-06 07:38:51|1|Tweak for c76955.
r79572|hornik|2020-12-06 05:22:30|1|Have xtfrm.default() check its value for correct length and type.
r79571|hornik|2020-12-06 05:21:33|1|Drop xtfrm.data.frame() added in c79513.
r79570|hornik|2020-12-06 05:18:26|1|Improve output.
r79569|ripley|2020-12-04 23:26:46|1|tweaks
r79566|ripley|2020-12-04 22:48:03|1|allow for macOS > 11 next year
r79565|luke|2020-12-04 18:20:17|2|Typo fix.
r79564|ripley|2020-12-04 07:44:30|1|it seems 11.1 is still Big Sur
r79562|ripley|2020-12-04 07:36:47|1|update now the majority are on Catalina/Big Sur
r79559|ripley|2020-12-04 05:04:52|1|update
r79557|ripley|2020-12-04 04:43:59|1|macOS updates
r79556|ripley|2020-12-04 04:30:27|1|make check failed with previous version
r79555|maechler|2020-12-04 03:13:06|1|new all.equal.function() checks environment(.)
r79554|pd|2020-12-03 16:20:00|1|maintainer-mode changes
r79553|luke|2020-12-03 14:59:31|2|Added native pipe and function shorthand syntax.
r79546|ripley|2020-12-03 07:34:06|1|tweaks for macOS
r79545|kalibera|2020-12-03 01:45:52|2|Comment.
r79544|luke|2020-12-02 17:14:08|2|Clear out PR_CODE as well during promise clearing.
r79543|luke|2020-12-02 16:34:35|2|Make sure target is on the handler stack before unwinding.
r79542|luke|2020-12-02 15:38:48|2|Drop rference counts when unwinding handler stack in endcontext.
r79541|luke|2020-12-02 13:36:03|2|Improvements to calling handlers registered with addTaskCallback().
r79539|ripley|2020-12-02 12:12:39|1|macOS updates
r79538|luke|2020-12-02 09:34:22|2|Added a comment to eventually clear the environment in callR1.
r79537|hornik|2020-12-02 06:13:03|1|Optionally do DOI checks in parallel too.
r79536|hornik|2020-12-02 05:07:57|1|Improve URLs.
r79535|hornik|2020-12-02 05:07:37|1|Spelling.
r79532|hornik|2020-12-01 07:09:46|1|Fix PR#17831.  With lots of help from Luke.
r79531|hornik|2020-12-01 07:03:16|1|Fix PR#17991.  Patch by Sebastian Meyer <seb.meyer@fau.de>.
r79530|ripley|2020-12-01 02:19:49|1|clean up clang warnings
r79529|luke|2020-11-30 13:06:08|2|Added R_NewEnv as a C versin of new.env to the API.
r79528|luke|2020-11-30 10:21:52|2|Avoid creating and discarding a vector of length 1 in do_pos2env.
r79527|maechler|2020-11-30 07:58:49|1|show(<hidden S4 generic>) now mentions `:::`
r79525|ripley|2020-11-29 02:20:42|1|macOS updates
r79524|ripley|2020-11-29 02:08:01|1|typos, English-language tweaks
r79522|hornik|2020-11-27 09:11:30|1|Fix PR#17662.
r79521|hornik|2020-11-27 09:07:19|1|Tweak for c79513.
r79519|ripley|2020-11-27 02:32:32|1|tweak for --disable-long-double
r79517|ripley|2020-11-27 01:40:13|1|do not search for other BLASes if one is given, more info on search
r79516|ripley|2020-11-27 01:06:44|1|reference R-devel manuals online from R-devel, R-patched everywhere else
r79514|ripley|2020-11-26 23:20:34|1|tweaks
r79513|hornik|2020-11-26 09:36:03|1|Fix PR#17985 by adding xtfrm.data.frame().
r79512|hornik|2020-11-26 07:44:52|1|Optionally do CRAN incoming URL checks in parallel.
r79511|hornik|2020-11-26 07:34:28|1|Tweak for c79479.
r79510|hornik|2020-11-26 07:33:56|1|Updated.
r79509|hornik|2020-11-26 06:47:23|1|Fix PR#17987.  Patch by  Henrik Bengtsson <henrikb@braju.com>.
r79507|maechler|2020-11-26 03:45:24|1|mention gc.time()
