package|author|rank.a|rank.m|n.roles|total.authors|total.roles|total.extra|total.extra2|cph
DescTools|Nicholas Cooper|16|NA|1|116|118|0|0|0
DescTools|Clint Cummins|17|NA|1|116|118|0|0|0
DescTools|Michael Dewey|18|NA|1|116|118|0|0|0
DescTools|Harold C. Doran|19|NA|1|116|118|0|0|0
DescTools|Stephane Dray|20|NA|1|116|118|0|0|0
DescTools|Charles Dupont|21|NA|1|116|118|0|0|0
DescTools|Dirk Eddelbuettel|22|NA|1|116|118|0|0|0
DescTools|Claus Ekstrom|23|NA|1|116|118|0|0|0
DescTools|Martin Elff|24|NA|1|116|118|0|0|0
DescTools|Jeff Enos|25|NA|1|116|118|0|0|0
DescTools|Richard W. Farebrother|26|NA|1|116|118|0|0|0
DescTools|John Fox|27|NA|1|116|118|0|0|0
DescTools|Romain Francois|28|NA|1|116|118|0|0|0
DescTools|Michael Friendly|29|NA|1|116|118|0|0|0
DescTools|Tal Galili|30|NA|1|116|118|0|0|0
DescTools|Matthias Gamer|31|NA|1|116|118|0|0|0
DescTools|Joseph L. Gastwirth|32|NA|1|116|118|0|0|0
DescTools|Vilmantas Gegzna|33|NA|1|116|118|0|0|0
DescTools|Yulia R. Gel|34|NA|1|116|118|0|0|0
DescTools|Sereina Graber|35|NA|1|116|118|0|0|0
DescTools|Juergen Gross|36|NA|1|116|118|0|0|0
DescTools|Gabor Grothendieck|37|NA|1|116|118|0|0|0
DescTools|Frank E. Harrell Jr|38|NA|1|116|118|0|0|0
DescTools|Richard Heiberger|39|NA|1|116|118|0|0|0
DescTools|Michael Hoehle|40|NA|1|116|118|0|0|0
DescTools|Christian W. Hoffmann|41|NA|1|116|118|0|0|0
DescTools|Soeren Hojsgaard|42|NA|1|116|118|0|0|0
DescTools|Torsten Hothorn|43|NA|1|116|118|0|0|0
DescTools|Markus Huerzeler|44|NA|1|116|118|0|0|0
DescTools|Wallace W. Hui|45|NA|1|116|118|0|0|0
DescTools|Pete Hurd|46|NA|1|116|118|0|0|0
DescTools|Rob J. Hyndman|47|NA|1|116|118|0|0|0
DescTools|Christopher Jackson|48|NA|1|116|118|0|0|0
DescTools|Matthias Kohl|49|NA|1|116|118|0|0|0
DescTools|Mikko Korpela|50|NA|1|116|118|0|0|0
DescTools|Max Kuhn|51|NA|1|116|118|0|0|0
DescTools|Detlew Labes|52|NA|1|116|118|0|0|0
DescTools|Friederich Leisch|53|NA|1|116|118|0|0|0
DescTools|Jim Lemon|54|NA|1|116|118|0|0|0
DescTools|Dong Li|55|NA|1|116|118|0|0|0
DescTools|Martin Maechler|56|NA|1|116|118|0|0|0
DescTools|Arni Magnusson|57|NA|1|116|118|0|0|0
DescTools|Ben Mainwaring|58|NA|1|116|118|0|0|0
DescTools|Daniel Malter|59|NA|1|116|118|0|0|0
DescTools|George Marsaglia|60|NA|1|116|118|0|0|0
DescTools|John Marsaglia|61|NA|1|116|118|0|0|0
DescTools|Alina Matei|62|NA|1|116|118|0|0|0
DescTools|David Meyer|63|NA|1|116|118|0|0|0
DescTools|Weiwen Miao|64|NA|1|116|118|0|0|0
DescTools|Giovanni Millo|65|NA|1|116|118|0|0|0
DescTools|Yongyi Min|66|NA|1|116|118|0|0|0
DescTools|David Mitchell|67|NA|1|116|118|0|0|0
DescTools|Franziska Mueller|68|NA|1|116|118|0|0|0
DescTools|Markus Naepflin|69|NA|1|116|118|0|0|0
DescTools|Daniel Navarro|70|NA|1|116|118|0|0|0
DescTools|Henric Nilsson|71|NA|1|116|118|0|0|0
DescTools|Klaus Nordhausen|72|NA|1|116|118|0|0|0
DescTools|Derek Ogle|73|NA|1|116|118|0|0|0
DescTools|Hong Ooi|74|NA|1|116|118|0|0|0
DescTools|Nick Parsons|75|NA|1|116|118|0|0|0
DescTools|Sandrine Pavoine|76|NA|1|116|118|0|0|0
DescTools|Tony Plate|77|NA|1|116|118|0|0|0
DescTools|Luke Prendergast|78|NA|1|116|118|0|0|0
DescTools|Roland Rapold|79|NA|1|116|118|0|0|0
DescTools|William Revelle|80|NA|1|116|118|0|0|0
DescTools|Tyler Rinker|81|NA|1|116|118|0|0|0
DescTools|Brian D. Ripley|82|NA|1|116|118|0|0|0
DescTools|Caroline Rodriguez|83|NA|1|116|118|0|0|0
DescTools|Nathan Russell|84|NA|1|116|118|0|0|0
DescTools|Nick Sabbe|85|NA|1|116|118|0|0|0
DescTools|Ralph Scherer|86|NA|1|116|118|0|0|0
DescTools|Venkatraman E. Seshan|87|NA|1|116|118|0|0|0
DescTools|Michael Smithson|88|NA|1|116|118|0|0|0
DescTools|Greg Snow|89|NA|1|116|118|0|0|0
DescTools|Karline Soetaert|90|NA|1|116|118|0|0|0
DescTools|Werner A. Stahel|91|NA|1|116|118|0|0|0
DescTools|Alec Stephenson|92|NA|1|116|118|0|0|0
DescTools|Mark Stevenson|93|NA|1|116|118|0|0|0
DescTools|Ralf Stubner|94|NA|1|116|118|0|0|0
DescTools|Matthias Templ|95|NA|1|116|118|0|0|0
DescTools|Duncan Temple Lang|96|NA|1|116|118|0|0|0
DescTools|Terry Therneau|97|NA|1|116|118|0|0|0
DescTools|Yves Tille|98|NA|1|116|118|0|0|0
DescTools|Luis Torgo|99|NA|1|116|118|0|0|0
DescTools|Adrian Trapletti|100|NA|1|116|118|0|0|0
DescTools|Joshua Ulrich|101|NA|1|116|118|0|0|0
DescTools|Kevin Ushey|102|NA|1|116|118|0|0|0
DescTools|Jeremy VanDerWal|103|NA|1|116|118|0|0|0
DescTools|Bill Venables|104|NA|1|116|118|0|0|0
DescTools|John Verzani|105|NA|1|116|118|0|0|0
DescTools|Pablo J. Villacorta Iglesias|106|NA|1|116|118|0|0|0
DescTools|Gregory R. Warnes|107|NA|1|116|118|0|0|0
DescTools|Stefan Wellek|108|NA|1|116|118|0|0|0
DescTools|Hadley Wickham|109|NA|1|116|118|0|0|0
DescTools|Rand R. Wilcox|110|NA|1|116|118|0|0|0
DescTools|Peter Wolf|111|NA|1|116|118|0|0|0
DescTools|Daniel Wollschlaeger|112|NA|1|116|118|0|0|0
DescTools|Joseph Wood|113|NA|1|116|118|0|0|0
DescTools|Ying Wu|114|NA|1|116|118|0|0|0
DescTools|Thomas Yee|115|NA|1|116|118|0|0|0
DescTools|Achim Zeileis|116|NA|1|116|118|0|0|0
dfidx|Yves Croissant|1|1|3|1|3|0|0|0
drake|William Michael Landau|1|1|3|13|15|0|0|0
drake|Alex Axthelm|2|NA|1|13|15|0|0|0
drake|Jasper Clarkberg|3|NA|1|13|15|0|0|0
drake|Kirill Müller|4|NA|1|13|15|0|0|0
drake|Ben Bond-Lamberty|5|NA|1|13|15|0|0|0
drake|Tristan Mahr|6|NA|1|13|15|0|0|0
drake|Miles McBain|7|NA|1|13|15|0|0|0
drake|Noam Ross|8|NA|1|13|15|0|0|0
drake|Ellis Hughes|9|NA|1|13|15|0|0|0
drake|Matthew Mark Strasiotto|10|NA|1|13|15|0|0|0
drake|Ben Marwick|11|NA|1|13|15|0|0|0
drake|Peter Slaughter|12|NA|1|13|15|0|0|0
drake|Eli Lilly and Company|13|NA|1|13|15|0|0|1
emdi|Sylvia Harmening|1|NA|1|9|11|0|0|0
emdi|Ann-Kristin Kreutzmann|2|NA|1|9|11|0|0|0
emdi|Soeren Pannier|3|1|3|9|11|0|0|0
emdi|Natalia Rojas-Perilla|4|NA|1|9|11|0|0|0
emdi|Nicola Salvati|5|NA|1|9|11|0|0|0
emdi|Timo Schmid|6|NA|1|9|11|0|0|0
emdi|Matthias Templ|7|NA|1|9|11|0|0|0
emdi|Nikos Tzavidis|8|NA|1|9|11|0|0|0
emdi|Nora Würz|9|NA|1|9|11|0|0|0
emmeans|Russell V. Lenth|1|1|4|6|9|0|0|1
emmeans|Paul Buerkner|2|NA|1|6|9|0|0|0
emmeans|Maxime Herve|3|NA|1|6|9|0|0|0
emmeans|Jonathon Love|4|NA|1|6|9|0|0|0
emmeans|Hannes Riebl|5|NA|1|6|9|0|0|0
emmeans|Henrik Singmann|6|NA|1|6|9|0|0|0
ennet|Ernest Guevarra|1|1|3|1|3|0|0|0
fable|Mitchell O'Hara-Wild|1|1|3|6|8|0|0|0
fable|Rob Hyndman|2|NA|1|6|8|0|0|0
fable|Earo Wang|3|NA|1|6|8|0|0|0
fable|Gabriel Caceres|4|NA|1|6|8|0|0|0
fable|Tim-Gunnar Hensel|5|NA|1|6|8|0|0|0
fable|Timothy Hyndman|6|NA|1|6|8|0|0|0
Factoshiny|Pauline Vaissie|1|NA|1|3|4|0|0|0
Factoshiny|Astrid Monge|2|NA|1|3|4|0|0|0
Factoshiny|Francois Husson|3|1|2|3|4|0|0|0
geobr|Rafael H. M. Pereira|1|1|3|13|16|0|0|0
geobr|Caio Nogueira Goncalves|2|NA|1|13|16|0|0|0
geobr|Paulo Henrique Fernandes de Araujo|3|NA|1|13|16|0|0|0
geobr|Guilherme Duarte Carvalho|4|NA|1|13|16|0|0|0
geobr|Rodrigo Almeida de Arruda|5|NA|1|13|16|0|0|0
geobr|Igor Nascimento|6|NA|1|13|16|0|0|0
geobr|Barbara Santiago Pedreira da Costa|7|NA|1|13|16|0|0|0
geobr|Welligtton Silva Cavedo|8|NA|1|13|16|0|0|0
geobr|Pedro R. Andrade|9|NA|1|13|16|0|0|0
geobr|Alan da Silva|10|NA|1|13|16|0|0|0
geobr|Carlos Kauê Vieira Braga|11|NA|1|13|16|0|0|0
geobr|Carl Schmertmann|12|NA|1|13|16|0|0|0
geobr|Ipea - Institue for Applied Economic Research|13|NA|2|13|16|0|0|1
iai|Jack Dunn|1|1|3|3|5|0|0|0
iai|Ying Zhuo|2|NA|1|3|5|0|0|0
iai|Interpretable AI LLC|3|NA|1|3|5|0|0|1
lavaanPlot|Alex Lishinski|1|1|2|1|2|0|0|0
MANOVA.RM|Sarah Friedrich|1|1|2|3|4|0|0|0
MANOVA.RM|Frank Konietschke|2|NA|1|3|4|0|0|0
MANOVA.RM|Markus Pauly|3|NA|1|3|4|0|0|0
MatrixCorrelation|Kristian Hovde Liland|1|1|2|1|2|0|0|0
mBvs|Kyu Ha Lee|1|1|2|4|5|0|0|0
mBvs|Mahlet G. Tadesse|2|NA|1|4|5|0|0|0
mBvs|Brent A. Coull|3|NA|1|4|5|0|0|0
mBvs|Jacqueline R. Starr|4|NA|1|4|5|0|0|0
mkin|Johannes Ranke|1|1|4|4|7|0|0|1
mkin|Katrin Lindenberger|2|NA|1|4|7|0|0|0
mkin|René Lehmann|3|NA|1|4|7|0|0|0
mkin|Eurofins Regulatory AG|4|NA|1|4|7|0|0|1
mlr3proba|Raphael Sonabend|1|1|3|5|7|0|0|0
mlr3proba|Franz Kiraly|2|NA|1|5|7|0|0|0
mlr3proba|Michel Lang|3|NA|1|5|7|0|0|0
mlr3proba|Nurul Ain Toha|4|NA|1|5|7|0|0|0
mlr3proba|Andreas Bender|5|NA|1|5|7|0|0|0
netCoin|Modesto Escobar|1|1|4|5|8|0|0|1
netCoin|David Barrios|2|NA|1|5|8|0|0|0
netCoin|Carlos Prieto|3|NA|1|5|8|0|0|0
netCoin|Luis Martinez-Uribe|4|NA|1|5|8|0|0|0
netCoin|Pablo Cabrera-Álvarez|5|NA|1|5|8|0|0|0
ontologyIndex|Daniel Greene|1|1|2|1|2|0|0|0
openVA|Zehang Richard Li|1|1|2|3|4|0|0|0
openVA|Tyler McCormick|2|NA|1|3|4|0|0|0
openVA|Sam Clark|3|NA|1|3|4|0|0|0
optiscale|William G. Jacoby|1|1|2|1|2|0|0|0
pairwiseComparisons|Indrajeet Patil|1|1|4|1|4|0|0|1
performance|Daniel Lüdecke|1|1|3|5|11|0|0|0
performance|Dominique Makowski|2|NA|2|5|11|0|0|0
performance|Philip Waggoner|3|NA|2|5|11|0|0|0
performance|Indrajeet Patil|4|NA|2|5|11|0|0|0
performance|Mattan S. Ben-Shachar|5|NA|2|5|11|0|0|0
PTXQC|Chris Bielow|1|1|3|6|9|0|0|0
PTXQC|Juliane Schmachtenberg|2|NA|1|6|9|0|0|0
PTXQC|Swenja Wagner|3|NA|1|6|9|0|0|0
PTXQC|Patricia Scheil|4|NA|1|6|9|0|0|0
PTXQC|Tom Waschischek|5|NA|1|6|9|0|0|0
PTXQC|Guido Mastrobuoni|6|NA|2|6|9|0|0|0
RcppCWB|Andreas Blaette|1|1|3|9|11|0|0|0
RcppCWB|Bernard Desgraupes|2|NA|1|9|11|0|0|0
RcppCWB|Sylvain Loiseau|3|NA|1|9|11|0|0|0
RcppCWB|Oliver Christ|4|NA|1|9|11|0|0|0
RcppCWB|Bruno Maximilian Schulze|5|NA|1|9|11|0|0|0
RcppCWB|Stefan Evert|6|NA|1|9|11|0|0|0
RcppCWB|Arne Fitschen|7|NA|1|9|11|0|0|0
RcppCWB|Jeroen Ooms|8|NA|1|9|11|0|0|0
RcppCWB|Marius Bertram|9|NA|1|9|11|0|0|0
RFCCA|Cansu Alakus|1|1|3|5|7|0|0|0
RFCCA|Denis Larocque|2|NA|1|5|7|0|0|0
RFCCA|Aurelie Labbe|3|NA|1|5|7|0|0|0
RFCCA|Hemant Ishwaran|4|NA|1|5|7|0|0|0
RFCCA|Udaya B. Kogalur|5|NA|1|5|7|0|0|0
rgdal|Roger Bivand|1|1|3|11|16|0|0|0
rgdal|Tim Keitt|2|NA|1|11|16|0|0|0
rgdal|Barry Rowlingson|3|NA|2|11|16|0|0|0
rgdal|Edzer Pebesma|4|NA|1|11|16|0|0|0
rgdal|Michael Sumner|5|NA|1|11|16|0|0|0
rgdal|Robert Hijmans|6|NA|1|11|16|0|0|0
rgdal|Daniel Baston|7|NA|1|11|16|0|0|0
rgdal|Even Rouault|8|NA|2|11|16|0|0|1
rgdal|Frank Warmerdam|9|NA|2|11|16|0|0|1
rgdal|Jeroen Ooms|10|NA|1|11|16|0|0|0
rgdal|Colin Rundel|11|NA|1|11|16|0|0|0
sarsop|Carl Boettiger|1|1|4|21|38|0|0|1
sarsop|Jeroen Ooms|2|NA|1|21|38|0|0|0
sarsop|Milad Memarzadeh|3|NA|1|21|38|0|0|0
sarsop|Hanna Kurniawati|4|NA|4|21|38|0|0|1
sarsop|David Hsu|5|NA|2|21|38|0|0|1
sarsop|Wee Sun Lee|7|NA|2|21|38|0|0|1
sarsop|Yanzhu Du|8|NA|1|21|38|0|0|0
sarsop|Xan Huang|9|NA|1|21|38|0|0|0
sarsop|Trey Smith|10|NA|2|21|38|0|0|1
sarsop|Tony Cassandra|11|NA|2|21|38|0|0|1
sarsop|Lee Thomason|12|NA|2|21|38|0|0|1
sarsop|Carl Kindman|13|NA|2|21|38|0|0|1
sarsop|Le Trong Dao|14|NA|2|21|38|0|0|1
sarsop|Amit Jain|15|NA|2|21|38|0|0|1
sarsop|Rong Nan|16|NA|2|21|38|0|0|1
sarsop|Ulrich Drepper|17|NA|1|21|38|0|0|0
sarsop|Free Software Foundation|18|NA|1|21|38|0|0|1
sarsop|Tyge Lovset|19|NA|2|21|38|0|0|1
sarsop|Yves Berquin|20|NA|2|21|38|0|0|1
sarsop|Benjamin Grüdelbach|21|NA|1|21|38|0|0|0
sarsop|RSA Data Security, Inc|22|NA|1|21|38|0|0|1
scalpel|Ashley Petersen|1|1|2|1|2|0|0|0
SemiCompRisks|Kyu Ha Lee|1|1|2|4|5|0|0|0
SemiCompRisks|Catherine Lee|2|NA|1|4|5|0|0|0
SemiCompRisks|Danilo Alvares|3|NA|1|4|5|0|0|0
SemiCompRisks|Sebastien Haneuse|4|NA|1|4|5|0|0|0
ShinyItemAnalysis|Patricia Martinkova|1|1|3|8|10|0|0|0
ShinyItemAnalysis|Adela Hladka|2|NA|1|8|10|0|0|0
ShinyItemAnalysis|Ondrej Leder|3|NA|1|8|10|0|0|0
ShinyItemAnalysis|Jakub Houdek|4|NA|1|8|10|0|0|0
ShinyItemAnalysis|Lubomir Stepanek|5|NA|1|8|10|0|0|0
ShinyItemAnalysis|Tomas Jurica|6|NA|1|8|10|0|0|0
ShinyItemAnalysis|Jana Vorlickova|7|NA|1|8|10|0|0|0
ShinyItemAnalysis|Jan Netik|8|NA|1|8|10|0|0|0
shinyWidgets|Victor Perrier|1|1|4|7|11|0|0|1
shinyWidgets|Fanny Meyer|2|NA|1|7|11|0|0|0
shinyWidgets|David Granjon|3|NA|1|7|11|0|0|0
shinyWidgets|Ian Fellows|4|NA|1|7|11|0|0|0
shinyWidgets|Wil Davis|5|NA|1|7|11|0|0|0
shinyWidgets|Spencer Matthews|6|NA|1|7|11|0|0|0
shinyWidgets|JavaScript and CSS libraries authors|7|NA|2|7|11|0|0|1
Signac|Tim Stuart|1|1|3|4|6|0|0|0
